Provinsi,Nilai,Tahun,Kategori
Sumatera Selatan,3527.2,2013-2014,Total Deforestasi
Bengkulu,12069.4,2013-2014,Total Deforestasi
Lampung,163.9,2013-2014,Total Deforestasi
Kepulauan Bangka Belitung,1699.4,2013-2014,Total Deforestasi
Kepulauan Riau,4.6,2013-2014,Total Deforestasi
DKI Jakarta,0.0,2013-2014,Total Deforestasi
Jawa Barat,14880.5,2013-2014,Total Deforestasi
Jawa Tengah,94.3,2013-2014,Total Deforestasi
DI Yogyakarta,32.8,2013-2014,Total Deforestasi
Jawa Timur,7497.1,2013-2014,Total Deforestasi
Banten,266.1,2013-2014,Total Deforestasi
Bali,130.2,2013-2014,Total Deforestasi
Nusa Tenggara Barat,0.0,2013-2014,Total Deforestasi
Nusa Tenggara Timur,108.8,2013-2014,Total Deforestasi
Kalimantan Barat,29919.6,2013-2014,Total Deforestasi
Kalimantan Tengah,58835.6,2013-2014,Total Deforestasi
Kalimantan Selatan,6938.5,2013-2014,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,38339.4,2013-2014,Total Deforestasi
Sulawesi Utara,3778.1,2013-2014,Total Deforestasi
Sulawesi Tengah,4714.0,2013-2014,Total Deforestasi
Sulawesi Selatan,3354.0,2013-2014,Total Deforestasi
Sulawesi Tenggara,2368.3,2013-2014,Total Deforestasi
Gorontalo,2586.1,2013-2014,Total Deforestasi
Sulawesi Barat,929.0,2013-2014,Total Deforestasi
Maluku,912.2,2013-2014,Total Deforestasi
Maluku Utara,1569.1,2013-2014,Total Deforestasi
Papua Barat,1848.9,2013-2014,Total Deforestasi
Papua,20443.1,2013-2014,Total Deforestasi
Aceh,72.1,2014-2015,Kawasan Hutan
Sumatera Utara,15450.3,2014-2015,Kawasan Hutan
Sumatera Barat,8813.9,2014-2015,Kawasan Hutan
Riau,124314.6,2014-2015,Kawasan Hutan
Jambi,15422.4,2014-2015,Kawasan Hutan
Sumatera Selatan,271032.8,2014-2015,Kawasan Hutan
Bengkulu,2139.6,2014-2015,Kawasan Hutan
Lampung,12909.9,2014-2015,Kawasan Hutan
Kepulauan Bangka Belitung,13594.7,2014-2015,Kawasan Hutan
Kepulauan Riau,1191.5,2014-2015,Kawasan Hutan
DKI Jakarta,0.0,2014-2015,Kawasan Hutan
Jawa Barat,1750.5,2014-2015,Kawasan Hutan
Jawa Tengah,1589.5,2014-2015,Kawasan Hutan
DI Yogyakarta,51.8,2014-2015,Kawasan Hutan
Jawa Timur,3621.0,2014-2015,Kawasan Hutan
Banten,1282.2,2014-2015,Kawasan Hutan
Bali,77.5,2014-2015,Kawasan Hutan
Nusa Tenggara Barat,8896.4,2014-2015,Kawasan Hutan
Nusa Tenggara Timur,2962.7,2014-2015,Kawasan Hutan
Kalimantan Barat,5754.0,2014-2015,Kawasan Hutan
Kalimantan Tengah,163240.0,2014-2015,Kawasan Hutan
Kalimantan Selatan,34631.5,2014-2015,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,36403.9,2014-2015,Kawasan Hutan
Sulawesi Utara,795.1,2014-2015,Kawasan Hutan
Sulawesi Tengah,10546.3,2014-2015,Kawasan Hutan
Sulawesi Selatan,8765.8,2014-2015,Kawasan Hutan
Sulawesi Tenggara,5475.4,2014-2015,Kawasan Hutan
