Provinsi,Nilai,Tahun,Kategori
Bali,234.2,2016-2017,Total Deforestasi
Nusa Tenggara Barat,14802.7,2016-2017,Total Deforestasi
Nusa Tenggara Timur,0.0,2016-2017,Total Deforestasi
Kalimantan Barat,19296.9,2016-2017,Total Deforestasi
Kalimantan Tengah,116782.8,2016-2017,Total Deforestasi
Kalimantan Selatan,681.8,2016-2017,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,94981.8,2016-2017,Total Deforestasi
Sulawesi Utara,605.3,2016-2017,Total Deforestasi
Sulawesi Tengah,44523.9,2016-2017,Total Deforestasi
Sulawesi Selatan,9274.1,2016-2017,Total Deforestasi
Sulawesi Tenggara,14956.3,2016-2017,Total Deforestasi
Gorontalo,24.6,2016-2017,Total Deforestasi
Sulawesi Barat,1413.0,2016-2017,Total Deforestasi
Maluku,1410.5,2016-2017,Total Deforestasi
Maluku Utara,22033.2,2016-2017,Total Deforestasi
Papua Barat,31228.7,2016-2017,Total Deforestasi
Papua,17259.1,2016-2017,Total Deforestasi
Aceh,3216.4,2017-2018,Kawasan Hutan
Sumatera Utara,4255.7,2017-2018,Kawasan Hutan
Sumatera Barat,3824.1,2017-2018,Kawasan Hutan
Riau,23672.3,2017-2018,Kawasan Hutan
Jambi,5994.4,2017-2018,Kawasan Hutan
Sumatera Selatan,3619.4,2017-2018,Kawasan Hutan
Bengkulu,7064.0,2017-2018,Kawasan Hutan
Lampung,1104.7,2017-2018,Kawasan Hutan
Kepulauan Bangka Belitung,3559.1,2017-2018,Kawasan Hutan
Kepulauan Riau,503.9,2017-2018,Kawasan Hutan
DKI Jakarta,0.0,2017-2018,Kawasan Hutan
Jawa Barat,2598.9,2017-2018,Kawasan Hutan
Jawa Tengah,2004.7,2017-2018,Kawasan Hutan
DI Yogyakarta,2.4,2017-2018,Kawasan Hutan
Jawa Timur,3298.6,2017-2018,Kawasan Hutan
Banten,523.6,2017-2018,Kawasan Hutan
Bali,99.5,2017-2018,Kawasan Hutan
Nusa Tenggara Barat,7065.6,2017-2018,Kawasan Hutan
Nusa Tenggara Timur,6037.1,2017-2018,Kawasan Hutan
Kalimantan Barat,13157.7,2017-2018,Kawasan Hutan
Kalimantan Tengah,20234.7,2017-2018,Kawasan Hutan
Kalimantan Selatan,5396.0,2017-2018,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,26808.0,2017-2018,Kawasan Hutan
Sulawesi Utara,3135.0,2017-2018,Kawasan Hutan
Sulawesi Tengah,11522.7,2017-2018,Kawasan Hutan
Sulawesi Selatan,2528.3,2017-2018,Kawasan Hutan
Sulawesi Tenggara,20382.1,2017-2018,Kawasan Hutan
Gorontalo,837.0,2017-2018,Kawasan Hutan
Sulawesi Barat,566.4,2017-2018,Kawasan Hutan
Maluku,2967.5,2017-2018,Kawasan Hutan
Maluku Utara,8903.0,2017-2018,Kawasan Hutan
Papua Barat,1683.9,2017-2018,Kawasan Hutan
Papua,32846.1,2017-2018,Kawasan Hutan
Aceh,4285.8,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,3063.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,1689.9,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,20042.5,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,3241.2,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,121.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,642.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,253.8,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,186.7,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,646.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,3789.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,1110.8,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,587.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,5511.7,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,240.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,177.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,3170.7,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,11652.9,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,29133.7,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,7005.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,8972.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,38386.2,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,767.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,10424.6,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,1070.0,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,10451.8,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,497.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,361.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,749.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,2917.2,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,314.4,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,45941.3,2017-2018,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,7502.2,2017-2018,Total Deforestasi
Sumatera Utara,7319.1,2017-2018,Total Deforestasi
Sumatera Barat,5514.0,2017-2018,Total Deforestasi
Riau,43714.8,2017-2018,Total Deforestasi
Jambi,9235.6,2017-2018,Total Deforestasi
Sumatera Selatan,3741.0,2017-2018,Total Deforestasi
Bengkulu,7706.4,2017-2018,Total Deforestasi
Lampung,1358.5,2017-2018,Total Deforestasi
Kepulauan Bangka Belitung,3745.8,2017-2018,Total Deforestasi
Kepulauan Riau,142.5,2017-2018,Total Deforestasi
DKI Jakarta,0.0,2017-2018,Total Deforestasi
Jawa Barat,6388.5,2017-2018,Total Deforestasi
Jawa Tengah,3115.6,2017-2018,Total Deforestasi
DI Yogyakarta,589.8,2017-2018,Total Deforestasi
Jawa Timur,8810.3,2017-2018,Total Deforestasi
Banten,283.1,2017-2018,Total Deforestasi
Bali,276.9,2017-2018,Total Deforestasi
Nusa Tenggara Barat,10236.4,2017-2018,Total Deforestasi
Nusa Tenggara Timur,17689.9,2017-2018,Total Deforestasi
Kalimantan Barat,42291.4,2017-2018,Total Deforestasi
Kalimantan Tengah,27240.3,2017-2018,Total Deforestasi
Kalimantan Selatan,14368.6,2017-2018,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,65194.2,2017-2018,Total Deforestasi
Sulawesi Utara,3902.6,2017-2018,Total Deforestasi
Sulawesi Tengah,21947.3,2017-2018,Total Deforestasi
Sulawesi Selatan,3598.2,2017-2018,Total Deforestasi
Sulawesi Tenggara,30834.0,2017-2018,Total Deforestasi
Gorontalo,339.6,2017-2018,Total Deforestasi
Sulawesi Barat,927.8,2017-2018,Total Deforestasi
Maluku,3716.9,2017-2018,Total Deforestasi
Maluku Utara,11820.2,2017-2018,Total Deforestasi
Papua Barat,1369.5,2017-2018,Total Deforestasi
Papua,78787.4,2017-2018,Total Deforestasi
Aceh,6737.5,2018-2019,Kawasan Hutan
Sumatera Utara,9583.9,2018-2019,Kawasan Hutan
Sumatera Barat,7626.0,2018-2019,Kawasan Hutan
Riau,136998.3,2018-2019,Kawasan Hutan
Jambi,26109.6,2018-2019,Kawasan Hutan
Sumatera Selatan,57857.6,2018-2019,Kawasan Hutan
Bengkulu,1959.4,2018-2019,Kawasan Hutan
Lampung,182.3,2018-2019,Kawasan Hutan
Kepulauan Bangka Belitung,1574.3,2018-2019,Kawasan Hutan
Kepulauan Riau,356.7,2018-2019,Kawasan Hutan
DKI Jakarta,0.0,2018-2019,Kawasan Hutan
Jawa Barat,3782.4,2018-2019,Kawasan Hutan
Jawa Tengah,1859.6,2018-2019,Kawasan Hutan
DI Yogyakarta,141.4,2018-2019,Kawasan Hutan
Jawa Timur,5066.4,2018-2019,Kawasan Hutan
Banten,67.3,2018-2019,Kawasan Hutan
Bali,89.3,2018-2019,Kawasan Hutan
Nusa Tenggara Barat,12382.4,2018-2019,Kawasan Hutan
Nusa Tenggara Timur,1279.2,2018-2019,Kawasan Hutan
Kalimantan Barat,15109.1,2018-2019,Kawasan Hutan
Kalimantan Tengah,17974.3,2018-2019,Kawasan Hutan
Kalimantan Selatan,6309.9,2018-2019,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,43031.6,2018-2019,Kawasan Hutan
Sulawesi Utara,213.0,2018-2019,Kawasan Hutan
Sulawesi Tengah,2292.4,2018-2019,Kawasan Hutan
Sulawesi Selatan,1387.7,2018-2019,Kawasan Hutan
Sulawesi Tenggara,4544.1,2018-2019,Kawasan Hutan
Gorontalo,261.3,2018-2019,Kawasan Hutan
Sulawesi Barat,229.2,2018-2019,Kawasan Hutan
Maluku,1214.7,2018-2019,Kawasan Hutan
Maluku Utara,1780.7,2018-2019,Kawasan Hutan
Papua Barat,1855.3,2018-2019,Kawasan Hutan
Papua,6468.1,2018-2019,Kawasan Hutan
Aceh,4870.5,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,2818.5,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,1698.9,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,5012.9,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,1272.3,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,2797.5,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,201.2,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,443.2,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,580.2,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,205.3,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,1194.9,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,44.5,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,185.0,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,738.3,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,16.1,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,1.7,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,3589.4,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,2233.6,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,8985.9,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,8265.8,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,1789.4,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,26552.9,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,47.8,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,1499.4,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,628.0,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,2013.1,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,116.8,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,0.4,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,57.2,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,546.2,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,3440.8,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,4744.1,2018-2019,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,11608.0,2018-2019,Total Deforestasi
Sumatera Utara,12402.4,2018-2019,Total Deforestasi
Sumatera Barat,9324.8,2018-2019,Total Deforestasi
Riau,142011.1,2018-2019,Total Deforestasi
Jambi,27382.0,2018-2019,Total Deforestasi
Sumatera Selatan,60655.1,2018-2019,Total Deforestasi
Bengkulu,2160.6,2018-2019,Total Deforestasi
Lampung,625.4,2018-2019,Total Deforestasi
Kepulauan Bangka Belitung,2154.4,2018-2019,Total Deforestasi
Kepulauan Riau,562.0,2018-2019,Total Deforestasi
DKI Jakarta,0.0,2018-2019,Total Deforestasi
Jawa Barat,4977.4,2018-2019,Total Deforestasi
Jawa Tengah,1904.0,2018-2019,Total Deforestasi
DI Yogyakarta,326.4,2018-2019,Total Deforestasi
Jawa Timur,5804.7,2018-2019,Total Deforestasi
Banten,83.4,2018-2019,Total Deforestasi
Bali,91.0,2018-2019,Total Deforestasi
Nusa Tenggara Barat,15971.9,2018-2019,Total Deforestasi
Nusa Tenggara Timur,3512.8,2018-2019,Total Deforestasi
Kalimantan Barat,24095.0,2018-2019,Total Deforestasi
Kalimantan Tengah,26240.2,2018-2019,Total Deforestasi
Kalimantan Selatan,8099.3,2018-2019,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,69584.6,2018-2019,Total Deforestasi
Sulawesi Utara,260.8,2018-2019,Total Deforestasi
Sulawesi Tengah,3791.8,2018-2019,Total Deforestasi
Sulawesi Selatan,2015.7,2018-2019,Total Deforestasi
Sulawesi Tenggara,6557.2,2018-2019,Total Deforestasi
Gorontalo,378.1,2018-2019,Total Deforestasi
Sulawesi Barat,228.8,2018-2019,Total Deforestasi
Maluku,1271.8,2018-2019,Total Deforestasi
Maluku Utara,2326.8,2018-2019,Total Deforestasi
Papua Barat,5296.1,2018-2019,Total Deforestasi
Papua,11212.2,2018-2019,Total Deforestasi
Aceh,1195.3,2019-2020,Kawasan Hutan
Sumatera Utara,470.4,2019-2020,Kawasan Hutan
Sumatera Barat,700.2,2019-2020,Kawasan Hutan
Riau,5672.6,2019-2020,Kawasan Hutan
Jambi,4035.0,2019-2020,Kawasan Hutan
Sumatera Selatan,2353.6,2019-2020,Kawasan Hutan
Bengkulu,3022.5,2019-2020,Kawasan Hutan
Lampung,384.1,2019-2020,Kawasan Hutan
Kepulauan Bangka Belitung,89.3,2019-2020,Kawasan Hutan
Kepulauan Riau,980.3,2019-2020,Kawasan Hutan
DKI Jakarta,0.0,2019-2020,Kawasan Hutan
Jawa Barat,0.0,2019-2020,Kawasan Hutan
Jawa Tengah,0.0,2019-2020,Kawasan Hutan
DI Yogyakarta,0.0,2019-2020,Kawasan Hutan
Jawa Timur,0.0,2019-2020,Kawasan Hutan
Banten,0.0,2019-2020,Kawasan Hutan
Bali,43.8,2019-2020,Kawasan Hutan
Nusa Tenggara Barat,10571.9,2019-2020,Kawasan Hutan
Nusa Tenggara Timur,2579.3,2019-2020,Kawasan Hutan
Kalimantan Barat,6546.6,2019-2020,Kawasan Hutan
Kalimantan Tengah,3206.4,2019-2020,Kawasan Hutan
Kalimantan Selatan,5247.8,2019-2020,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,2792.7,2019-2020,Kawasan Hutan
Sulawesi Utara,231.8,2019-2020,Kawasan Hutan
Sulawesi Tengah,5270.8,2019-2020,Kawasan Hutan
Sulawesi Selatan,386.5,2019-2020,Kawasan Hutan
Sulawesi Tenggara,2794.5,2019-2020,Kawasan Hutan
Gorontalo,737.1,2019-2020,Kawasan Hutan
Sulawesi Barat,204.7,2019-2020,Kawasan Hutan
Maluku,8534.0,2019-2020,Kawasan Hutan
Maluku Utara,1506.8,2019-2020,Kawasan Hutan
Papua Barat,413.5,2019-2020,Kawasan Hutan
Papua,1731.4,2019-2020,Kawasan Hutan
Aceh,722.6,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,763.2,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,74.4,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,893.6,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,451.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,41.6,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,337.3,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,79.2,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,29.1,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,334.1,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,0.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,0.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,0.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,0.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,34.3,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,1.2,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,2436.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,5710.2,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,9787.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,3705.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,2299.4,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,7867.8,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,167.6,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,4232.3,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,532.6,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,389.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,330.8,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,11.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,733.4,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,103.0,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,1494.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,4898.9,2019-2020,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,1917.9,2019-2020,Total Deforestasi
Sumatera Utara,1233.6,2019-2020,Total Deforestasi
Sumatera Barat,774.6,2019-2020,Total Deforestasi
Riau,6566.2,2019-2020,Total Deforestasi
Jambi,4486.9,2019-2020,Total Deforestasi
Sumatera Selatan,2312.0,2019-2020,Total Deforestasi
Bengkulu,3359.8,2019-2020,Total Deforestasi
Lampung,463.3,2019-2020,Total Deforestasi
Kepulauan Bangka Belitung,118.4,2019-2020,Total Deforestasi
Kepulauan Riau,1314.4,2019-2020,Total Deforestasi
DKI Jakarta,0.0,2019-2020,Total Deforestasi
Jawa Barat,0.0,2019-2020,Total Deforestasi
Jawa Tengah,0.0,2019-2020,Total Deforestasi
DI Yogyakarta,0.0,2019-2020,Total Deforestasi
Jawa Timur,0.0,2019-2020,Total Deforestasi
Banten,34.3,2019-2020,Total Deforestasi
Bali,45.0,2019-2020,Total Deforestasi
Nusa Tenggara Barat,13007.9,2019-2020,Total Deforestasi
Nusa Tenggara Timur,8289.5,2019-2020,Total Deforestasi
Kalimantan Barat,16334.5,2019-2020,Total Deforestasi
Kalimantan Tengah,6912.3,2019-2020,Total Deforestasi
Kalimantan Selatan,7547.2,2019-2020,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,10660.5,2019-2020,Total Deforestasi
Sulawesi Utara,399.4,2019-2020,Total Deforestasi
Sulawesi Tengah,9503.1,2019-2020,Total Deforestasi
Sulawesi Selatan,919.1,2019-2020,Total Deforestasi
Sulawesi Tenggara,3184.4,2019-2020,Total Deforestasi
Gorontalo,1067.9,2019-2020,Total Deforestasi
Sulawesi Barat,215.7,2019-2020,Total Deforestasi
Maluku,9267.4,2019-2020,Total Deforestasi
Maluku Utara,1609.8,2019-2020,Total Deforestasi
Papua Barat,1908.4,2019-2020,Total Deforestasi
Papua,6630.3,2019-2020,Total Deforestasi
Aceh,1816.3,2020-2021,Kawasan Hutan
Sumatera Utara,2499.0,2020-2021,Kawasan Hutan
Sumatera Barat,5772.0,2020-2021,Kawasan Hutan
Riau,1425.0,2020-2021,Kawasan Hutan
Jambi,19442.0,2020-2021,Kawasan Hutan
Sumatera Selatan,1982.0,2020-2021,Kawasan Hutan
Bengkulu,1854.0,2020-2021,Kawasan Hutan
Lampung,222.0,2020-2021,Kawasan Hutan
Kepulauan Bangka Belitung,1870.0,2020-2021,Kawasan Hutan
Kepulauan Riau,422.0,2020-2021,Kawasan Hutan
DKI Jakarta,0.0,2020-2021,Kawasan Hutan
Jawa Barat,339.0,2020-2021,Kawasan Hutan
Jawa Tengah,195.0,2020-2021,Kawasan Hutan
DI Yogyakarta,0.0,2020-2021,Kawasan Hutan
Jawa Timur,85.0,2020-2021,Kawasan Hutan
Banten,275.0,2020-2021,Kawasan Hutan
Bali,46.0,2020-2021,Kawasan Hutan
Nusa Tenggara Barat,2339.0,2020-2021,Kawasan Hutan
Nusa Tenggara Timur,812.0,2020-2021,Kawasan Hutan
Kalimantan Barat,3305.0,2020-2021,Kawasan Hutan
Kalimantan Tengah,15754.0,2020-2021,Kawasan Hutan
Kalimantan Selatan,1574.0,2020-2021,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,8150.0,2020-2021,Kawasan Hutan
Sulawesi Utara,59.0,2020-2021,Kawasan Hutan
Sulawesi Tengah,1554.0,2020-2021,Kawasan Hutan
Sulawesi Selatan,68.0,2020-2021,Kawasan Hutan
Sulawesi Tenggara,3400.0,2020-2021,Kawasan Hutan
Gorontalo,405.0,2020-2021,Kawasan Hutan
Sulawesi Barat,3605.0,2020-2021,Kawasan Hutan
Maluku,1209.0,2020-2021,Kawasan Hutan
Maluku Utara,903.0,2020-2021,Kawasan Hutan
Papua Barat,603.0,2020-2021,Kawasan Hutan
Papua,1415.0,2020-2021,Kawasan Hutan
Aceh,1182.5,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,840.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,1025.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,93.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,605.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,210.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,179.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,53.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,117.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,60.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,43.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,12.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,0.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,58.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,3.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,0.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,784.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,589.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,6790.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,5782.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,455.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,12774.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,49.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,837.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,76.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,788.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,107.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,86.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,85.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,61.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,1427.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,2136.0,2020-2021,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,2998.8,2020-2021,Total Deforestasi
Sumatera Utara,3339.0,2020-2021,Total Deforestasi
